Source,Target,Sign,Type
66,49,1,Undirected
66,50,1,Undirected
66,54,1,Undirected
66,64,0,Undirected
66,67,1,Undirected
66,71,1,Undirected
67,4,1,Undirected
67,11,1,Undirected
67,13,1,Undirected
67,21,1,Undirected
67,54,1,Undirected
67,66,1,Undirected
68,2,1,Undirected
68,4,1,Undirected
68,11,1,Undirected
68,21,1,Undirected
68,22,1,Undirected
68,37,1,Undirected
68,45,1,Undirected
68,71,1,Undirected
68,74,0,Undirected
68,75,1,Undirected
69,1,1,Undirected
69,4,0,Undirected
69,6,1,Undirected
69,17,1,Undirected
69,18,1,Undirected
69,19,1,Undirected
69,24,1,Undirected
69,25,1,Undirected
69,36,1,Undirected
69,45,0,Undirected
69,48,1,Undirected
69,52,1,Undirected
69,53,1,Undirected
69,56,1,Undirected
70,4,0,Undirected
70,6,0,Undirected
70,7,1,Undirected
70,12,0,Undirected
70,15,1,Undirected
70,19,1,Undirected
70,23,1,Undirected
70,25,1,Undirected
70,29,1,Undirected
70,33,0,Undirected
70,37,1,Undirected
70,39,0,Undirected
70,41,1,Undirected
70,42,0,Undirected
70,46,0,Undirected
70,53,0,Undirected
70,56,1,Undirected
70,72,1,Undirected
71,4,1,Undirected
71,11,1,Undirected
71,15,1,Undirected
71,23,1,Undirected
71,45,1,Undirected
71,46,1,Undirected
71,66,1,Undirected
71,68,1,Undirected
72,4,1,Undirected
72,6,1,Undirected
72,7,1,Undirected
72,11,1,Undirected
72,12,1,Undirected
72,18,1,Undirected
72,19,1,Undirected
72,24,1,Undirected
72,25,1,Undirected
72,29,1,Undirected
72,30,1,Undirected
72,33,1,Undirected
72,35,1,Undirected
72,41,1,Undirected
72,56,1,Undirected
72,70,1,Undirected
73,4,1,Undirected
73,7,1,Undirected
73,48,1,Undirected
74,3,1,Undirected
74,4,1,Undirected
74,43,1,Undirected
74,68,0,Undirected
75,2,1,Undirected
75,4,1,Undirected
75,36,1,Undirected
75,45,1,Undirected
75,68,1,Undirected
76,4,1,Undirected
76,11,1,Undirected
76,25,1,Undirected
76,27,1,Undirected
76,30,1,Undirected
76,42,1,Undirected
77,47,1,Undirected
77,54,1,Undirected
